,0
1791,-0.02758795651882906
1792,-0.02478002899848697
1793,0.07755823434587494
1794,0.022141125877213064
1795,0.1710388978557802
1796,0.046737477851690024
1797,-0.1405450277714797
1798,-0.01360565205577835
1799,0.12838116664820642
1800,0.2921899688909706
1801,0.044473490601080634
1802,-0.3043919728216533
1803,-0.02626546261018614
1804,0.021718523954643132
1805,0.14461878820189877
1806,-0.04848035301093567
1807,-0.04784442583200743
1808,0.06948902629742815
1809,0.1290363513431103
1810,0.05203056068847278
1811,-0.055087109171021886
1812,0.14903557916048804
1813,-0.024923408452456997
1814,-0.14109225451822738
1815,-0.1594405503770977
1816,0.09569742291485372
1817,0.0321116025896
1818,-0.04155874148101013
1819,-0.0723485793339238
1820,-0.09831589291781828
1821,-0.08857792548135457
1822,-0.09004188197712448
1823,0.059179770594465886
1824,0.0698879931340679
1825,0.050214076193714874
1826,-0.1060225481215955
1827,-0.02987526143382979
1828,0.026189300754905886
1829,0.02480068759452969
1830,-0.02480068759452969
1831,0.008823586658515126
1832,-0.046450297644136995
1833,-0.062495619507770606
1834,-0.0510784946874443
1835,-0.062021645309457085
1836,0.13809136404621736
1837,0.028259337314403332
1838,0.07455015655181807
1839,0.0311199087138041
1840,-0.026818826814413832
1841,-0.03567906658599984
1842,-0.06825185626223185
1843,-0.10889408823913715
1844,0.04244898883098447
1845,-0.023167059281534286
1846,0.04663837984169472
1847,0.1582846253589869
1848,-0.2023222235006248
1849,-0.09531017980432477
1850,-0.02507363755211589
1851,0.0
1852,0.021053409197832273
1853,0.11778303565638382
1854,0.06280090123903026
1855,-0.008733679968754515
1856,0.0
1857,0.02597548640326064
1858,-0.09873484068568938
1859,0.018692133012153
1860,0.0452565915881209
1861,-0.008888947417246662
1862,0.008888947417246662
1863,0.017544309650909362
1864,0.0
1865,-0.017544309650909362
1866,0.008810629682154847
1867,0.0
1868,-0.008810629682154847
1869,-0.01785761740000691
1870,-0.009049835519917337
1871,0.026907452919924246
1872,0.060103924069704995
1873,0.01652930195121094
1874,-0.05908891637000657
1875,-0.03540192705091627
1876,-0.009049835519917337
1877,0.0
1878,-0.056089466651044084
1879,-0.029270382300112807
1880,0.038839833316263395
1881,-0.019231361927887214
1882,-0.009756174945365181
1883,0.0
1884,-0.05026183478088786
1885,-0.06385147198653307
1886,-0.022223136784710107
1887,-0.01129955525393278
1888,0.0
1889,0.01129955525393278
1890,0.0
1891,0.0
1892,0.01117330059812538
1893,-0.01117330059812538
1894,-0.04598511324182297
1895,-0.023810648693718406
1896,0.0
1897,0.023810648693718406
1898,0.03468555798789019
1899,-0.022989518224699523
1900,0.05651221026334241
1901,-0.011049836186584727
1902,0.0
1903,0.011049836186584727
1904,0.010929070532190721
1905,0.010810916104215806
1906,0.02127739844728449
1907,-0.02127739844728449
1908,0.010695289116747553
1909,0.0
1910,0.021053409197832273
1911,0.010362787035546717
1912,0.030459207484708983
1913,0.019802627296178876
1914,-0.019802627296178876
1915,0.20701416938432526
1916,0.17142226633591928
1917,0.18687737332981502
1918,0.14272198400363578
1919,0.05743204908587529
1920,0.14681486833704493
1921,-0.09691789719242117
1922,-0.21104884643086486
1923,-0.05043085362689226
1924,0.005730674708985362
1925,0.005698021114636909
1926,-0.022989518224698635
1927,-0.026511125548331904
1928,-0.00899556290857717
1929,-0.012121360532344916
1930,-0.03727139479723185
1931,-0.06876685724709208
1932,-0.024014876203874103
1933,-0.028170876966696845
1934,0.0071174677688645716
1935,0.014084739881738528
1936,0.02758795651882906
1937,0.0465200156348935
1938,0.012903404835907573
1939,0.012739025777429802
1940,0.15234072458201897
1941,0.0783690671155064
1942,0.005012541823544048
1943,-0.005012541823544048
1944,0.010000083334583465
1945,0.009901070982711424
1946,0.0024600258408629117
1947,-0.0024600258408629117
1948,0.0377255696165788
1949,0.03637781182443023
1950,0.026431700212972142
1951,0.10550348712828717
1952,0.06453721356430275
1953,0.015501470801406736
1954,0.03773853984083919
1955,0.05122866878942167
1956,0.02999637545875622
1957,0.04294103781838832
1958,0.016348338936648332
1959,0.0
1960,0.021390164020534286
1961,0.04145478674408043
1962,0.02506284183421803
1963,0.01960760930863481
1964,0.047407143293570986
1965,0.045254448257542546
1966,0.034784533315270316
1967,0.025316690151365506
1968,0.05669882542649951
1969,0.04615991798193608
1970,0.07598782571949103
1971,0.08352200697395906
1972,0.07410455022318496
1973,0.1017864253174996
1974,0.17338860173467863
1975,0.2231435513142097
1976,0.1409363406311006
1977,0.11517138622208511
1978,0.08036450976802723
1979,0.15855354880001515
1980,0.1411219511743118
1981,0.11348195375699355
1982,0.05225069034387708
1983,0.051959738930711374
1984,0.04500196891208663
1985,0.054588190284403204
1986,0.03681397312271617
1987,0.03647521153504041
1988,0.06556655013386425
1989,0.07423748066908775
1990,0.08932351674800909
1991,0.0436816431642697
1992,0.02546518105949591
1993,0.019210836265677322
1994,0.028484037542339635
1995,0.03168448392411349
1996,0.02425553195822605
1997,0.03562717764315071
1998,0.02712866738825337
1999,0.017486125370698602
2000,0.028867984000851443
2001,0.006944472352811815
2002,0.028987536873251507
2003,0.027626066274931915
2004,0.034282950323614614
2005,0.02187587235672428
2006,0.04335356328298978
2007,0.03965703402677523
2008,0.009438484414705073
2009,0.023672490889654618
2010,0.046603414992766545
2011,0.027209625075122368
